ID,Score
19abee57-99ca-5636-9118-e3bb58b88848,0.101216
3d6f9293-ac9f-5fad-9cc5-f47bbe25bdef,0.988518
2599edee-e030-5b23-9aaa-5338cdf2a6e9,0.985625
503a89e5-06fd-5ae0-a644-d1aa172faa70,0.912352
c3b2305e-de61-5b62-ae6b-52c396d7b247,0.984294
d758ebcf-c4b3-5b0a-b89e-ca3ba3816fb2,0.101801
1fe6fe09-ce95-5f05-a005-8d1b7c561746,0.993132
bb7d105b-65c7-592e-b3ff-1e2a4f5911fd,0.991381
6f4640b2-cd91-5b8f-bed8-143638b7f8c2,0.0133518
8d8cc31b-4a74-5ba8-a344-1352911e5628,0.970797
cc9965c4-92f4-5074-b03a-bf5f890cfc2c,0.0455869
a099858a-d3b5-5525-a812-4dfddffa6ece,0.966723
2d2dbddd-ec60-5eb3-8879-42acd2e7a761,0.905539
8b12ed4b-d87f-5f2c-8a89-ef267abc7423,0.664976
3ee99c49-348d-5959-a9a0-6078f20a3174,0.0373614
4a58f487-9877-5e1f-bbb6-79daa3e63f18,0.987103
26c06de9-328b-559e-9e82-1bf61cb0980f,0.988313
536f5013-63b1-5474-908f-19145b2c900e,0.997155
1c9e9691-5e5b-5a33-9996-a24283d96d10,0.991146
c3906867-6d0a-5627-bb47-f7d08c5ac625,0.998271
1d24bbdf-7d5e-53d4-b5a6-7925da5c58f7,0.0107949
5eecd46b-0982-5d2a-afb9-9b52cb70690f,0.984712
32b7f353-3fe2-5f4a-89a3-53c183430e77,0.994007
708e81d3-efc1-5ab4-9d85-07d881551385,0.0204153
61792df6-d7b2-5fdd-9501-70ac0c70f32f,0.997022
83760266-a9b1-5731-a76b-6dcd6784db66,0.456345
10e18f13-4272-5c22-82e7-eda67f450ac2,0.998384
bbc43f0b-839d-59f0-ae11-62a72aa0cea4,0.918571
026d354e-a352-510d-88c4-9390efaa91bd,0.991731
d7c0b3ff-d88d-5bfa-b593-d3df2262bc24,0.977038
49ca8ef4-b34f-5d29-91d7-683b25282cb6,0.957719
20e06b56-5ace-57ce-80e4-8208c23b32d9,0.0190904
db5d852e-1fc3-5ce9-a0b5-94255d86de48,0.797155
2ac2aace-aecb-5ed1-84c2-1b2e4829cac4,0.998966
894c1ca3-9bf8-5a43-84d5-3622c38b6c6d,0.310877
3db509ea-12bd-5a98-9941-d68416f601d2,0.0305987
74fc1742-3582-50ca-93ad-757f10e07a04,0.0175688
8e3e2cc3-dca0-553c-ace6-689d74500f13,0.0171753
053c66f5-2f22-5312-83e2-532c26279b61,0.0330759
1a2a54a4-2fca-5f6e-beb4-96085a623f43,0.969723
b07bb92b-1d1b-552f-ba4a-9cbb1a85cf77,0.339161
039ca0e7-5a78-5f86-9349-b962aa28d599,0.0169472
db4c6a69-b573-5a3c-9225-782dbdb62502,0.0401749
871eba39-fe6e-57e3-884c-78cc659b2546,0.40679
ad140176-4d76-5679-a2c2-ebe4d17886cd,0.0492479
b966b9ac-963a-5807-8490-10daaab0a500,0.277566
84d59757-a36c-5291-9d44-cf37688244b5,0.0188709
b15dbec3-472e-51f7-83c2-8c17547178f5,0.943325
b5c42bf5-50b7-5e1b-b6f1-c61e63bc87c0,0.74492
68882fce-7e7b-52ac-bcd1-ae01a1e7ebba,0.999544
